base_text,latitude,longitude,month,Canx,aircraft
PETERSON AFB,38.805805,-104.700778,11,0.0270833333333333,f-35
PETERSON AFB,38.805805,-104.700778,12,0.0262096774193548,f-35
ROBINS AFB,32.640144,-83.59185,1,0.0222222222222222,f-35
ROBINS AFB,32.640144,-83.59185,2,0.0331858407079646,f-35
ROBINS AFB,32.640144,-83.59185,3,0.0202020202020202,f-35
ROBINS AFB,32.640144,-83.59185,4,0.0125,f-35
ROBINS AFB,32.640144,-83.59185,5,0.0120967741935483,f-35
ROBINS AFB,32.640144,-83.59185,6,0.0020833333333333,f-35
ROBINS AFB,32.640144,-83.59185,7,0.0141414141414141,f-35
ROBINS AFB,32.640144,-83.59185,8,0.0120967741935483,f-35
ROBINS AFB,32.640144,-83.59185,9,0.0062630480167014,f-35
ROBINS AFB,32.640144,-83.59185,10,0.0101010101010101,f-35
ROBINS AFB,32.640144,-83.59185,11,0.0313152400835073,f-35
ROBINS AFB,32.640144,-83.59185,12,0.0403225806451612,f-35
TINKER AFB,35.414739,-97.386633,1,0.064516129032258,f-35
TINKER AFB,35.414739,-97.386633,2,0.077433628318584,f-35
TINKER AFB,35.414739,-97.386633,3,0.0584677419354838,f-35
TINKER AFB,35.414739,-97.386633,4,0.0604166666666666,f-35
TINKER AFB,35.414739,-97.386633,5,0.0201612903225806,f-35
TINKER AFB,35.414739,-97.386633,6,0.0395833333333333,f-35
TINKER AFB,35.414739,-97.386633,7,0.0040322580645161,f-35
TINKER AFB,35.414739,-97.386633,8,0.004040404040404,f-35
TINKER AFB,35.414739,-97.386633,9,0.0146137787056367,f-35
TINKER AFB,35.414739,-97.386633,10,0.0221774193548387,f-35
TINKER AFB,35.414739,-97.386633,11,0.0416666666666666,f-35
TINKER AFB,35.414739,-97.386633,12,0.0887096774193548,f-35
VANDENBERG AFB,34.70081,-120.46794,1,0.0846774193548387,f-35
VANDENBERG AFB,34.70081,-120.46794,2,0.1181818181818181,f-35
VANDENBERG AFB,34.70081,-120.46794,3,0.0566801619433198,f-35
VANDENBERG AFB,34.70081,-120.46794,4,0.0798319327731092,f-35
VANDENBERG AFB,34.70081,-120.46794,5,0.0626262626262626,f-35
VANDENBERG AFB,34.70081,-120.46794,6,0.0712742980561555,f-35
VANDENBERG AFB,34.70081,-120.46794,7,0.065439672801636,f-35
VANDENBERG AFB,34.70081,-120.46794,8,0.0684647302904564,f-35
VANDENBERG AFB,34.70081,-120.46794,9,0.0699152542372881,f-35
VANDENBERG AFB,34.70081,-120.46794,10,0.0602150537634408,f-35
VANDENBERG AFB,34.70081,-120.46794,11,0.1164835164835164,f-35
VANDENBERG AFB,34.70081,-120.46794,12,0.1292929292929293,f-35
WRIGHT PATTERSON AFB,39.826111,-84.048332,1,0.0403225806451612,f-35
WRIGHT PATTERSON AFB,39.826111,-84.048332,2,0.0598669623059867,f-35
WRIGHT PATTERSON AFB,39.826111,-84.048332,3,0.0483870967741935,f-35
WRIGHT PATTERSON AFB,39.826111,-84.048332,4,0.025,f-35
WRIGHT PATTERSON AFB,39.826111,-84.048332,5,0.032258064516129,f-35
WRIGHT PATTERSON AFB,39.826111,-84.048332,6,0.0208333333333333,f-35
WRIGHT PATTERSON AFB,39.826111,-84.048332,7,0.0141129032258064,f-35
